Query	FT-4-mean	FT-4-std	NonFT-4-mean	NonFT-4-std	Quokka-4	FT-16-mean	FT-16-std	NonFT-16-mean	NonFT-16-std	Quokka-16
TPCH-1	26.85666667	0.1101514109	17.86333333	0.6615386106	17.36662857	29.86333333	2.743817292	10.32	0.1777638883	11.49834307
TPCH-2	6.983333333	0.3165964835	3.723333333	0.4025336425	11.82987634	12.59333333	0.1040833	2.906666667	0.4365012409	9.21137015
TPCH-3	17.61666667	0.05507570547	13.53333333	0.4119870548	17.55019442	20.16333333	0.6021074101	8.08	0.4003748244	14.03440825
TPCH-4	11.32666667	0.2746512941	9.706666667	0.2977135088	20.2689023	12.60666667	1.284847591	5.86	0.1539480432	22.53592849
TPCH-5	24.95333333	1.591613437	17.66666667	0.1101514109	23.91898783	26.52	0.6437390776	11.21333333	0.2409010862	17.70756769
TPCH-6	9.926666667	0.08736894948	6.84	0.2137755833	7.821632544	10.63666667	0.6217180497	4.133333333	0.08736894948	5.916017373
TPCH-7	17.98	1.574452286	13.34666667	0.09073771726	17.14373207	17.87	0.9180413934	8.59	0.74	13.54591759
TPCH-8	19.76666667	1.063594534	15.38333333	0.5508478314	29.45886803	21.31666667	0.6288349015	10.1	0.7549834435	19.451413
TPCH-9	88	4	28.7	0.5586591089	35.40914923	84	4	17.34	0.0916515139	23.3453935
TPCH-10	20.35333333	0.5257692777	14.51	0.1513274595	17.34759057	26.07	1.924863632	9.363333333	0.3274650109	14.58115045
