TPC-H,QuokkavsSpark4,QuokkavsTrino4,QuokkavsSpark16,QuokkavsTrino16
1,3.944347063,2.072703348,3.644619979,3.22745383
2,1.912194176,0.6303981116,1.882908528,1.325883177
3,2.176821887,1.34986716,1.728124888,1.573576711
4,1.064481237,0.5172464784,0.8444664819,0.5874036223
5,2.177939359,1.397743548,1.746569267,1.623519697
6,2.33264653,1.622663574,2.630468527,2.508614785
7,2.210685277,1.226244219,2.073620777,1.478616308
8,1.790119612,0.8785994399,1.568954853,1.255061829
9,1.834435759,2.80597736,1.706068548,3.846346927
10,1.823872071,1.341361198,1.631904239,2.017087799
11,3.692649751,1.139904923,3.617949545,2.203848123
12,2.576275661,2.102876897,2.43378621,3.12017755
13,2.478470361,1.377163351,2.259743312,2.761525508
14,2.927978275,1.718880103,2.836446936,2.127461237
15,3.839942281,2.187864969,3.503524625,2.090481489
16,3.59886099,1.52068911,3.63910666,2.650327777
17,1.50435524,0.8060066705,1.370829171,1.264996159
18,1.589296534,1.215012028,0.8219835847,0.905271144
19,1.104479039,1.114032196,1.341914439,1.601095627
20,0.976546844,0.6519588645,1.115399557,0.9088571151
21,1.404942371,1.129346157,0.7178723917,0.7451862473
22,3.217454761,1.041955775,3.055065124,1.799746698
